Nama Produk ,Produksi,Ukuran/Berat,Satuan,Kalori Total (kkal),% AKG_Kalori,Gula Total (gr),Konversi Gula Per Sendok Makan,% Rekomendasi,Karbohidrat Total (gr),% AKG_Karbohidrat,Lemak Total (gr),% AKG_Lemak,Lemak Jenuh (gr),% AKG_Lemak Jenuh,Protein,% AKG_Protein,Garam (mg),% AKG_Garam,Kode Barcode,Link Gambar Barcode,Link Gambar Produk
Minute Maid Pulpy,PT. Coca-Cola Bottling Indonesia ,300,ml,90,"4,186046512",22,"1,76",44,23,7,0,0,0,0,0,0,45,3,8 992761 166038,,
Nutriboost Strawberry Flavour,PT. Coca-Cola Bottling Indonesia ,300,ml,156,"7,255813953","27,6","2,208","55,2","32,4","9,6","2,4","3,6","1,2","4,8","1,2","2,4",150,"9,6",8 992761 164546,,
Nutriboost Orange Flavour,PT. Coca-Cola Bottling Indonesia ,300,ml,144,"6,697674419","26,4","2,112","52,8","31,2","9,6","2,4","3,6","1,2","7,2","1,2","2,4",150,"9,6",8 992761 164539,,
Floridina Orange,PT. Mitra Alam Segar Pasuruan,350,ml,180,"8,372093023",42,"3,36",84,44,14,0,0,0,0,0,0,50,4,8 998866 500708,,
Floridina Orange Coco,PT. Mitra Alam Segar Pasuruan,250,ml,180,"8,372093023",42,"3,36",84,44,14,0,0,0,0,0,0,50,4,8 998866 202923,,
Diamond Juice Guava,PT. Diamond Cold Storage,200,ml,110,"5,11627907",21,"1,68",42,27,8,0,0,0,0,0,0,25,2,8 999898 970637,,
Diamond Juice Orange,PT. Diamond Cold Storage,200,ml,80,"3,720930233",14,"1,12",28,19,6,0,,0,0,0,0,15,1,8 999898 970668,,
Diamond Juice Apple,PT. Diamond Cold Storage,200,ml,90,"4,186046512",21,"1,68",42,22,7,0,0,0,0,0,0,10,1,8 999898 970606,,
Diamond Juice Blueberry,PT. Diamond Cold Storage,200,ml,100,"4,651162791",17,"1,36",34,26,8,0,0,0,0,0,0,10,1,8 999898 970613,,
Diamond Juice Cranberry,PT. Diamond Cold Storage,200,ml,130,"6,046511628",19,"1,52",38,32,10,0,0,0,0,0,0,20,1,8 999898 970620,,
Nutrisari Jeruk Madu Less Sugar,PT. Nutrifood Indonesia,200,ml,70,"3,255813953",14,"1,12",28,16,5,0,0,0,0,0,0,40,3,7 49921 01114 5,,
Nutrisari Squeezed Orange Less Sugar,PT. Nutrifood Indonesia,200,ml,60,"2,790697674",12,"0,96",24,15,5,0,0,0,0,0,0,40,3,7 49921 01159 6,,
ABC Jambu,PT. Heinz ABC Indonesia,250,ml,100,"4,651162791","22,5","1,8",45,25,"7,5",0,0,0,0,0,0,"37,5","2,5",7 11844 16007 1,,
ABC Sari Kacang Hijau,PT. Heinz ABC Indonesia,250,ml,100,"4,651162791","18,75","1,5","37,5","21,25","6,25",0,0,0,0,"2,5",5,"81,25",5,7 11844 16241 9,,
Cap Panda Cincau,PT. Kino Indonesia Tbk.,310,ml,100,"4,651162791",23,"1,84",46,25,8,0,0,0,0,0,0,55,4,8 995227 500582,,
Cap Panda Cincau Selasih,PT. Kino Indonesia Tbk.,310,ml,100,"4,651162791",25,2,50,25,8,0,0,0,0,0,0,25,2,8 995227 502814,,
Olatte Strawberry,PT. Heonz Royal Jaya,240,ml,80,"3,720930233",14,"1,12",28,14,4,2,3,1,6,0,0,30,2,8 801097 130111,,
Olatte Pear,PT. Heonz Royal Jaya,240,ml,80,"3,720930233",14,"1,12",28,19,6,0,0,0,0,1,6,35,2,8 801097 122079,,
Olatte Apple,PT. Heonz Royal Jaya,240,ml,80,"3,720930233",15,"1,2",30,19,6,0,0,0,0,1,1,40,3,8 801097 115088,,
Olatte Peach,PT. Heonz Royal Jaya,240,ml,80,"3,720930233",14,"1,12",28,19,6,0,0,0,0,1,1,30,2,8 801097 128071,,
Pocari Sweat,PT. Amerta Indah Otsuka,350,ml,84,"3,906976744","19,6","1,568","39,2",21,7,0,0,0,0,0,0,168,"11,2",8 997035 563544,,
Pocari Sweat Ion Water,PT. Amerta Indah Otsuka,350,ml,49,"2,279069767","12,6","1,008","25,2","12,6","4,2",0,0,0,0,0,0,182,"12,6",8 997035 601017,,
Fanta Rasa Stroberi,The Coca-Cola Company,390,ml,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,6","1,56",8 992761 002084,,
Sprite,The Coca-Cola Company,390,ml,"70,2","3,265116279","18,72","1,4976","37,44","18,72","6,24",0,0,0,0,0,0,"62,4","4,68",8 992761 002022,,
Fanta Rasa Anggur,The Coca-Cola Company,390,ml,"70,2","3,265116279","18,72","1,4976","37,44","18,72","6,24",0,0,0,0,0,0,"31,2","1,56",8 992761 002053,,
Fanta Rasa Jeruk,The Coca-Cola Company,390,ml,78,"3,627906977","17,16","1,3728","34,32","17,16","4,68",0,0,0,0,0,0,78,"4,68",8 992761 002046,,
Coca Cola Zero Sugar,PT. Coca-Cola Bottling Indonesia,390,ml,0,0,0,0,0,0,0,0,0,0,0,0,0,"31,2","1,56",8 992761 002060,,
Coca Cola,PT. Coca-Cola Bottling Indonesia,390,ml,156,"7,255813953","42,12","3,3696","84,24","42,12","12,48",0,0,0,0,0,0,"23,4","1,56",8 992761 002015,,
