Nama Produk ,Produksi,Ukuran/Berat,Satuan,Kalori Total (kkal),% AKG_Kalori,Gula Total (gr),Konversi Gula Per Sendok Makan,% Rekomendasi,Karbohidrat Total (gr),% AKG_Karbohidrat,Lemak Total (gr),% AKG_Lemak,Lemak Jenuh (gr),% AKG_Lemak Jenuh,Protein,% AKG_Protein,Garam (mg),% AKG_Garam,Kode Barcode,Link Gambar Barcode,Link Gambar Produk
Kin Bulgarian Yogurt Blueberry,PT. ABC Kogen Dairy,200,ml,144,"6,697674419",16,"1,28",32,24,8,4,"4,8","2,4","12,8","3,2","6,4",64,"4,8",8 997220 410103,,
Kin Bulgarian Yogurt Slimberries,PT. ABC Kogen Dairy,200,ml,150,"6,976744186",16,"1,28",32,29,9,"1,5",4,"1,5",7,3,6,70,5,8 997220 410851,,
Frisian Flag Low Fat Belgian Chocolate,PT. FRISIAN FLAG INDONESIA,225,ml,130,"6,046511628",21,"1,68",42,22,7,"2,5",4,0,0,6,10,90,6,8 992753 018796,https://drive.google.com/file/d/1Ft9I4qoyVSctVniqQS2SMguUodxKBeYh/view?usp=drive_link,https://drive.google.com/file/d/1EaztVe0OYYBjrWR77lpJ80wNSb0MmPYh/view?usp=drive_link
Milku Real Milk Original,PT. MITRA ALAM SEGAR,200,ml,100,"4,651162791",9,"0,72",18,11,3,4,6,2,11,6,9,130,9,8 998866 203920,https://drive.google.com/file/d/1FoLa74t5Qdmc5wsYcLQ6QbdZzn7VPSqP/view?usp=drive_link,https://drive.google.com/file/d/1EnE1A-ovCI7PiFnQVEBwTxvpaarLuHiy/view?usp=drive_link
Tujuh Kurma ,PT. TIRTA FRESINDO JAYA,189,ml,160,"7,441860465",20,"1,6",40,22,7,6,9,4,20,7,11,140,9,8 996001 600696,https://drive.google.com/file/d/1FuAeWZjOpzeT5KLYBa3nJQvtf8cpsdQ1/view?usp=drive_link,https://drive.google.com/file/d/1EcYK9J89ZAJrP3bK7rx4C-K_A70nGAxA/view?usp=drive_link
Collagen Susu Steril,PT. TIRTA FRESINDO JAYA,189,ml,130,"6,046511628",8,"0,64",16,11,3,6,9,4,21,8,13,200,13,8 996001 601051,https://drive.google.com/file/d/1FnUexuMLAKvpqYF8JOE-dPqQqcjnruUh/view?usp=drive_link,https://drive.google.com/file/d/1ElTfDKUrXKEOZaEGknI5KwwfLcDhX2Nj/view?usp=drive_link
Kin Slurp Yogurt XL Blueberry,PT. ABC Kogen Dairy,80,gr,90,"4,186046512",11,"0,88",22,17,5,"1,5",2,1,5,3,5,40,3,8 997220 411070,,
Kin Slurp Yogurt XL Manggo,PT. ABC Kogen Dairy,80,gr,70,"3,255813953",10,"0,8",20,12,4,"1,5",2,1,5,2,3,25,2,8 997220 411100,,
Kin Slurp Yogurt XL Strawberry,PT. ABC Kogen Dairy,80,gr,90,"4,186046512",10,"0,8",20,18,6,1,2,1,4,3,4,45,3,8 997220 411056,,
INDOMILK Kids Yogurt Original,PT. INDOLAKTO,70,gr,60,"2,790697674",8,"0,64",16,9,3,2,3,"1,5",6,2,3,30,2,8 993007 007221,,
INDOMILK Kids Yogurt Strawberry,PT. INDOLAKTO,70,gr,60,"2,790697674",8,"0,64",16,9,3,2,3,"1,5",6,2,3,30,2,8 993007 007238,,
INDOMILK Kids Yogurt Banana Berries,PT. INDOLAKTO,70,gr,60,"2,790697674",9,"0,72",18,9,3,2,3,1,6,2,3,30,2,8 993007 007252,,
Cimory Yogurt Original,PT. Cisarua Mountain Dairy Tbk.,120,gr,120,"5,581395349",12,"0,96",24,"20,4",6,"3,6","4,8","2,4","10,8","3,6",6,90,"7,2",8 993200 666935,,
Cimory Yogurt Mango Sticky Rice,PT. Cisarua Mountain Dairy Tbk.,120,gr,120,"5,581395349","14,4","1,152","28,8","20,4",6,"2,4","3,6","1,8","9,6","4,8","7,2",60,"4,8",8 993200 661343,,
Cimory Yogurt Peach,PT. Cisarua Mountain Dairy Tbk.,120,gr,120,"5,581395349","14,4","1,152","28,8","20,4",6,"3,6","4,8","2,4","10,8","4,8","7,2",60,"4,8",8 993200 667406,,
Cimory Yogurt Brown Sugar,PT. Cisarua Mountain Dairy Tbk.,120,gr,120,"5,581395349","14,4","1,152","28,8","20,4",6,"3,6","4,8","2,4","10,8","4,8","7,2",60,"4,8",8 993200 668335,,
Cimory Yogurt Drink Original,PT. Cisarua Mountain Dairy Tbk.,240,ml,200,"9,302325581",25,2,50,37,11,"3,5",5,"2,5",10,4,7,90,6,8 993200 663064,,
Cimory Yogurt Drink Strawberry,PT. Cisarua Mountain Dairy Tbk.,240,ml,200,"9,302325581",25,2,50,37,11,"3,5",5,2,9,4,7,90,6,8 993200 661305,,
Cimory Yogurt Drink Mixed Fruit,PT. Cisarua Mountain Dairy Tbk.,240,ml,200,"9,302325581",25,2,50,37,11,"3,5",5,"2,5",10,"3,5",7,90,6,8 993200 661350,,
Cimory Yogurt Drink Manggo,PT. Cisarua Mountain Dairy Tbk.,240,ml,200,"9,302325581",25,2,50,37,11,"3,5",5,2,9,4,7,90,6,8 993200 661336,,
Cimory Yogurt Drink Blueberry,PT. Cisarua Mountain Dairy Tbk.,240,ml,200,"9,302325581",25,2,50,37,11,"3,5",5,2,9,"3,5",7,90,6,8 993200 661657,,
Cimory Yogurt Drink Red Grape,PT. Cisarua Mountain Dairy Tbk.,240,ml,200,"9,302325581",25,2,50,37,11,"3,5",5,"2,5",10,4,7,90,6,8 993200 661312,,
Cimory Yogurt Drink Lychee,PT. Cisarua Mountain Dairy Tbk.,240,ml,200,"9,302325581",25,2,50,37,11,"3,5",5,"1,5",9,"3,5",7,90,6,8 993200 661299,,
Cimory Yogurt Drink Low Fat Strawberry & Mango,PT. Cisarua Mountain Dairy Tbk.,240,ml,190,"8,837209302",25,2,50,39,12,"2,5",3,1,5,4,7,90,6,8 993200 665006,,
Cimory Yogurt Drink Low Fat Banana,PT. Cisarua Mountain Dairy Tbk.,240,ml,190,"8,837209302",25,2,50,39,12,"2,5",3,1,5,4,7,90,6,8 993200 664993,,
Cimory Yogurt Drink Low Fat Blueberry,PT. Cisarua Mountain Dairy Tbk.,240,ml,190,"8,837209302",25,2,50,39,12,"2,5",3,1,5,4,7,90,6,8 993200 665013,,
